"","League","Team","Season","Gen..Role","DAVIES_TOTAL","DAVIES_weighted","League_DAVIES","Raw_League_DAVIES","SD_League","Raw_SD_League","Z"
"1","Bundesliga","Arminia","2020-2021","Central Def",0.89,0.568087096774194,1.21123927983635,1.82388888888889,1.16934174627755,3.35222163188549,-0.550012162919482
"2","Bundesliga","Arminia","2020-2021","Creator",-4.79,-2.24163701067616,0.704387780377947,0.471764705882353,1.33291392716849,2.76101257533834,-2.21021382626885
"3","Bundesliga","Arminia","2020-2021","Deep Midfielder",0.21,0.21,1.02595729385508,0.541764705882353,1.79045405712795,2.53769638475064,-0.45572646257338
"4","Bundesliga","Arminia","2020-2021","Dribbler",-1.71,0.872364182950397,1.19411535105372,0.824705882352941,1.96946230605503,3.99271072964073,-0.163370056443381
"5","Bundesliga","Arminia","2020-2021","Finisher",-4.23,0.0288694968553459,1.45606485554418,1.80555555555556,2.2904615438466,5.40110688244137,-0.623103829236093
"6","Bundesliga","Arminia","2020-2021","Midfielder",-2.34,-0.4466029143898,1.314440312965,0.904117647058823,1.43672372777406,2.22108942532581,-1.22573546556735
"7","Bundesliga","Arminia","2020-2021","Wide Def",-0.25,0.253151848151848,1.13808191162871,2.11833333333333,1.05883758009188,3.0626444743833,-0.835756191615404
"8","Bundesliga","Arminia","2021-2022","Central Def",0.28,0.370607973421927,0.878442731012064,0.723333333333333,1.1975362929394,4.50230529186732,-0.424066277226252
"9","Bundesliga","Arminia","2021-2022","Creator",-4.68,-0.0523254745866503,0.802010375629409,0.26,1.40132425869132,3.51621766485903,-0.609663213148049
"10","Bundesliga","Arminia","2021-2022","Deep Midfielder",-0.42,-0.141123263375702,0.727733209090988,0.285625,1.50585439398893,1.97822805813688,-0.576985713847893
"11","Bundesliga","Arminia","2021-2022","Dribbler",-0.61,-0.172844262295082,1.738143558919,1.96294117647059,2.58491784992617,5.12984620225826,-0.739283773087281
"12","Bundesliga","Arminia","2021-2022","Finisher",-2.19,-0.623919156414763,2.16178638623501,2.42611111111111,2.57818599228985,5.8773514832377,-1.08049052744081
"13","Bundesliga","Arminia","2021-2022","Midfielder",-1.13,-1.13,0.36945067284139,-0.298333333333333,1.01306521954701,1.95276651415973,-1.48011267577803
"14","Bundesliga","Arminia","2021-2022","Wide Def",-4.69,-0.685189456342669,0.686622487183433,-0.103888888888889,1.0565629796457,3.32272768686297,-1.29837214624548
"15","Bundesliga","Augsburg","2017-2018","Central Def",4.43,1.83008136696501,1.1213078213025,1.00722222222222,1.14541665407507,4.73731843427402,0.618791025205451
"16","Bundesliga","Augsburg","2017-2018","Creator",2.79,2.79,0.615914677565609,0.17,1.42825739482641,2.94502065640747,1.52219433997653
"17","Bundesliga","Augsburg","2017-2018","Deep Midfielder",1.84,0.939125285684604,0.180949982713052,-0.375,0.935647771841305,1.90594503346456,0.810321283060936
"18","Bundesliga","Augsburg","2017-2018","Dribbler",-1.68,-1.01192485846629,0.954828361523415,0.941666666666667,1.56413658468512,4.36088394978924,-1.25740503690452
"19","Bundesliga","Augsburg","2017-2018","Finisher",6.48,2.97475745889994,1.11361439691776,1.47888888888889,1.62675321591008,4.1792694110882,1.14408445225724
"20","Bundesliga","Augsburg","2017-2018","Midfielder",-1.48,-0.246026200873362,0.00906974365859249,0.153888888888889,1.36747306297165,3.90860308864627,-0.18654549873005
"21","Bundesliga","Augsburg","2017-2018","Wide Def",-1.05,0.498498090145149,0.493431481361445,0.148333333333333,0.732211501914539,2.38020822124254,0.006919597371055
"22","Bundesliga","Augsburg","2018-2019","Central Def",0.71,0.552318786522442,0.870026593384621,0.547777777777778,0.818965444883662,2.95719174328212,-0.387937987917562
"23","Bundesliga","Augsburg","2018-2019","Creator",-0.95,-0.95,1.0996745163329,1.40111111111111,2.0934146234892,3.99420593431932,-0.979105855731823
"24","Bundesliga","Augsburg","2018-2019","Deep Midfielder",0.63,1.28004759238522,0.962688321990381,1.09588235294118,1.59399719240367,2.70970030359339,0.199096505255618
"25","Bundesliga","Augsburg","2018-2019","Dribbler",1.44,0.782995974698102,1.05076533638819,1.58470588235294,2.24183258828723,3.99855148404872,-0.11944217560628
"26","Bundesliga","Augsburg","2018-2019","Finisher",-7.95,0.511907661085743,1.70853090987336,1.98722222222222,2.57905751934519,6.50472842093084,-0.463976952748006
