"Player","Season","Season Age","Gen. Role","Role","DAVIES","Box Activity","Shooting","Final Ball","Dribbles and Carries","Buildup Passing","Defense","Min","Team","League","Nation","League Gender"
"Kylian Mbappé","2019-2020",20,"Finisher","Mobile Forward",0.5,0.08,0.25,0.12,0.06,0,-0.01,1513,"Paris S-G","Ligue 1","FRA","M"
"Lionel Messi","2017-2018",30,"Creator","Central Creator",0.49,0.07,0.27,0.06,0.05,0.05,-0.02,3000,"Barcelona","La Liga","ARG","M"
"Neymar","2019-2020",27,"Creator","Central Creator",0.47,0.06,0.23,0.05,0.06,0.07,-0.01,1318,"Paris S-G","Ligue 1","BRA","M"
"Lionel Messi","2018-2019",31,"Creator","Central Creator",0.45,0.04,0.24,0.08,0.04,0.06,-0.02,2713,"Barcelona","La Liga","ARG","M"
"Neymar","2017-2018",25,"Creator","Central Creator",0.43,0.06,0.19,0.08,0.08,0.04,-0.01,1786,"Paris S-G","Ligue 1","BRA","M"
"Lionel Messi","2020-2021",33,"Creator","Central Creator",0.4,0.05,0.21,0.05,0.05,0.06,-0.02,3023,"Barcelona","La Liga","ARG","M"
"Lionel Messi","2019-2020",32,"Creator","Central Creator",0.4,0.05,0.17,0.07,0.06,0.06,-0.02,2880,"Barcelona","La Liga","ARG","M"
"Kylian Mbappé","2018-2019",19,"Finisher","Mobile Forward",0.38,0.04,0.28,0.03,0.03,0.01,-0.01,2343,"Paris S-G","Ligue 1","FRA","M"
"Cristiano Ronaldo","2017-2018",32,"Finisher","Mobile Forward",0.36,0.06,0.24,0.02,0.04,0.01,-0.01,2285,"Real Madrid","La Liga","POR","M"
"Neymar","2020-2021",28,"Creator","Central Creator",0.36,0.06,0.15,0.05,0.05,0.05,0,1415,"Paris S-G","Ligue 1","BRA","M"
"Neymar","2018-2019",26,"Creator","Central Creator",0.34,0.06,0.11,0.07,0.05,0.07,-0.01,1439,"Paris S-G","Ligue 1","BRA","M"
"Edinson Cavani","2019-2020",32,"Finisher","Progressive Forward",0.33,0.04,0.27,0.02,0.01,0.01,-0.01,605,"Paris S-G","Ligue 1","URU","M"
"Lionel Messi","2021-2022",34,"Creator","Central Creator",0.32,0.02,0.12,0.04,0.03,0.11,-0.02,2153,"Paris S-G","Ligue 1","ARG","M"
"Kylian Mbappé","2021-2022",22,"Dribbler","Direct Dribbler",0.31,0.07,0.19,0.03,0.03,0,-0.01,3023,"Paris S-G","Ligue 1","FRA","M"
"Gastón Pereiro","2020-2021",25,"Creator","Central Creator",0.31,0.04,0.22,0.06,0.01,0,-0.01,272,"Cagliari","Serie A M","URU","M"
"Alan Virginius","2022-2023",19,"Finisher","Mobile Forward",0.3,0.04,0.28,0,0,0.02,0.01,258,"Lille","Ligue 1","FRA","M"
"Robert Lewandowski","2019-2020",30,"Finisher","Mobile Forward",0.29,0.05,0.19,0.03,0.01,0,-0.01,2759,"Bayern Munich","Bundesliga","POL","M"
"Luis Muriel","2020-2021",29,"Dribbler","Direct Dribbler",0.29,0.04,0.23,0.02,0,-0.01,0,1436,"Atalanta","Serie A M","COL","M"
