,League,Team,Season,Gen..Role,DAVIES_TOTAL,DAVIES_weighted,League_DAVIES,Raw_League_DAVIES,SD_League,Raw_SD_League,Z,Manager,Wage Bill
1,Bundesliga,Arminia,2020-2021,Central Def,0.89,0.568087097,1.21123928,1.823888889,1.169341746,3.352221632,-0.550012163,Uwe Neuhaus,
2,Bundesliga,Arminia,2020-2021,Creator,-4.79,-2.241637011,0.70438778,0.471764706,1.332913927,2.761012575,-2.210213826,Uwe Neuhaus,
3,Bundesliga,Arminia,2020-2021,Deep Midfielder,0.21,0.21,1.025957294,0.541764706,1.790454057,2.537696385,-0.455726463,Uwe Neuhaus,
4,Bundesliga,Arminia,2020-2021,Dribbler,-1.71,0.872364183,1.194115351,0.824705882,1.969462306,3.99271073,-0.163370056,Uwe Neuhaus,
5,Bundesliga,Arminia,2020-2021,Finisher,-4.23,0.028869497,1.456064856,1.805555556,2.290461544,5.401106882,-0.623103829,Uwe Neuhaus,
6,Bundesliga,Arminia,2020-2021,Midfielder,-2.34,-0.446602914,1.314440313,0.904117647,1.436723728,2.221089425,-1.225735466,Uwe Neuhaus,
7,Bundesliga,Arminia,2020-2021,Wide Def,-0.25,0.253151848,1.138081912,2.118333333,1.05883758,3.062644474,-0.835756192,Uwe Neuhaus,
8,Bundesliga,Arminia,2021-2022,Central Def,0.28,0.370607973,0.878442731,0.723333333,1.197536293,4.502305292,-0.424066277,Frank Kramer,
9,Bundesliga,Arminia,2021-2022,Creator,-4.68,-0.052325475,0.802010376,0.26,1.401324259,3.516217665,-0.609663213,Frank Kramer,
10,Bundesliga,Arminia,2021-2022,Deep Midfielder,-0.42,-0.141123263,0.727733209,0.285625,1.505854394,1.978228058,-0.576985714,Frank Kramer,
11,Bundesliga,Arminia,2021-2022,Dribbler,-0.61,-0.172844262,1.738143559,1.962941176,2.58491785,5.129846202,-0.739283773,Frank Kramer,
12,Bundesliga,Arminia,2021-2022,Finisher,-2.19,-0.623919156,2.161786386,2.426111111,2.578185992,5.877351483,-1.080490527,Frank Kramer,
13,Bundesliga,Arminia,2021-2022,Midfielder,-1.13,-1.13,0.369450673,-0.298333333,1.01306522,1.952766514,-1.480112676,Frank Kramer,
14,Bundesliga,Arminia,2021-2022,Wide Def,-4.69,-0.685189456,0.686622487,-0.103888889,1.05656298,3.322727687,-1.298372146,Frank Kramer,
15,Bundesliga,Augsburg,2017-2018,Central Def,4.43,1.830081367,1.121307821,1.007222222,1.145416654,4.737318434,0.618791025,Manuel Baum,
16,Bundesliga,Augsburg,2017-2018,Creator,2.79,2.79,0.615914678,0.17,1.428257395,2.945020656,1.52219434,Manuel Baum,
17,Bundesliga,Augsburg,2017-2018,Deep Midfielder,1.84,0.939125286,0.180949983,-0.375,0.935647772,1.905945033,0.810321283,Manuel Baum,
18,Bundesliga,Augsburg,2017-2018,Dribbler,-1.68,-1.011924858,0.954828362,0.941666667,1.564136585,4.36088395,-1.257405037,Manuel Baum,
19,Bundesliga,Augsburg,2017-2018,Finisher,6.48,2.974757459,1.113614397,1.478888889,1.626753216,4.179269411,1.144084452,Manuel Baum,
20,Bundesliga,Augsburg,2017-2018,Midfielder,-1.48,-0.246026201,0.009069744,0.153888889,1.367473063,3.908603089,-0.186545499,Manuel Baum,
21,Bundesliga,Augsburg,2017-2018,Wide Def,-1.05,0.49849809,0.493431481,0.148333333,0.732211502,2.380208221,0.006919597,Manuel Baum,
22,Bundesliga,Augsburg,2018-2019,Central Def,0.71,0.552318787,0.870026593,0.547777778,0.818965445,2.957191743,-0.387937988,Manuel Baum,
23,Bundesliga,Augsburg,2018-2019,Creator,-0.95,-0.95,1.099674516,1.401111111,2.093414623,3.994205934,-0.979105856,Manuel Baum,
24,Bundesliga,Augsburg,2018-2019,Deep Midfielder,0.63,1.280047592,0.962688322,1.095882353,1.593997192,2.709700304,0.199096505,Manuel Baum,
25,Bundesliga,Augsburg,2018-2019,Dribbler,1.44,0.782995975,1.050765336,1.584705882,2.241832588,3.998551484,-0.119442176,Manuel Baum,
26,Bundesliga,Augsburg,2018-2019,Finisher,-7.95,0.511907661,1.70853091,1.987222222,2.579057519,6.504728421,-0.463976953,Manuel Baum,
27,Bundesliga,Augsburg,2018-2019,Midfielder,-0.8,-0.8,0.491207479,-0.042941176,1.534715806,2.206090333,-0.841333278,Manuel Baum,
28,Bundesliga,Augsburg,2018-2019,Wide Def,-1.88,0.249200854,0.958129725,0.457777778,1.348891087,3.6572805,-0.525564205,Manuel Baum,
29,Bundesliga,Augsburg,2019-2020,Central Def,-2.78,-0.357664761,1.145176818,2.009444444,0.729307463,2.466620628,-2.060641987,Martin Schmidt,
30,Bundesliga,Augsburg,2019-2020,Creator,-5.24,-2.846694045,0.376339893,0.432777778,1.896625508,3.184807327,-1.699351782,Martin Schmidt,
31,Bundesliga,Augsburg,2019-2020,Deep Midfielder,-2.44,-0.25514442,1.040343641,1.069444444,1.595903532,2.888611456,-0.811758377,Martin Schmidt,
32,Bundesliga,Augsburg,2019-2020,Dribbler,4,2.052494802,0.931621294,0.934117647,2.186153915,6.254669315,0.512714819,Martin Schmidt,
