Rank,Name,Current club,Stints,Games,Career Elo ⌀,Total Elo +/-,Avg Elo +/-,Coach Rating
1,Pep Guardiola,Man City,3,735,2006,+356,+119,2244
2,Antonio Conte,Napoli,10,466,1763,+566,+57,2075
3,Jürgen Klopp,none (since 2024-05-31),3,965,1788,+421,+140,2069
4,Unai Emery,Aston Villa,9,885,1785,+490,+54,2057
5,Luciano Spalletti,none (since 2023-06-30),12,852,1735,+590,+49,2055
6,José Mourinho,Fenerbahçe,11,1015,1860,+345,+31,2048
7,Zinédine Zidane,none (since 2021-06-30),2,236,1971,+67,+34,2022
8,Diego Simeone,Atlético,2,629,1887,+157,+78,2004
9,Carlo Ancelotti,Real Madrid,11,1189,1872,+215,+20,1990
10,Manuel Pellegrini,Betis,6,777,1799,+307,+51,1978
11,Ralf Rangnick,none (since 2022-06-30),9,485,1626,+625,+69,1973
12,Claudio Ranieri,none (since 2024-06-30),19,1143,1714,+460,+24,1956
13,Felix Magath,none (since 2022-06-30),11,616,1711,+425,+39,1942
14,Gian Piero Gasperini,Atalanta,8,737,1660,+488,+61,1934
15,Xavi,none (since 2024-06-30),1,128,1876,+53,+53,1929
16,Edin Terzić,none (since 2024-06-13),2,116,1835,+97,+49,1908
17,Jorge Jesus,none (since 2023-06-30),12,797,1628,+512,+43,1905
18,Luis Enrique,Paris SG,5,315,1761,+234,+47,1901
19,Julian Nagelsmann,none (since 2023-03-23),3,293,1816,+125,+42,1900
20,Marcelino,Villarreal,12,650,1719,+328,+27,1897
21,Thomas Tuchel,none (since 2024-06-30),5,511,1812,+140,+28,1896
22,Ernesto Valverde,Bilbao,9,727,1796,+158,+18,1883
23,Rúben Amorim,Sporting,2,193,1728,+206,+103,1883
24,Arne Slot,Liverpool,3,196,1703,+256,+85,1874
25,Laurent Blanc,none (since 2023-09-11),3,316,1802,+104,+35,1872
26,Marco Silva,Fulham,7,368,1644,+395,+56,1870
27,Christophe Galtier,none (since 2023-07-04),4,545,1669,+321,+80,1869
28,Marco Rose,RB Leipzig,4,305,1781,+139,+35,1868
29,Javier Aguirre,none (since 2024-05-22),6,485,1718,+248,+41,1863
30,Mauricio Pochettino,none (since 2024-05-21),5,566,1779,+138,+28,1862
31,Ralph Hasenhüttl,Wolfsburg,6,367,1600,+443,+74,1858
32,Eddie Howe,Newcastle,3,470,1634,+331,+110,1855
33,Rafa Benítez,none (since 2024-03-12),14,1036,1754,+187,+13,1854
34,Lucien Favre,none (since 2023-01-09),8,748,1612,+422,+53,1849
35,Sam Allardyce,none (since 2023-06-30),9,686,1656,+346,+38,1849
36,Nuno Espírito Santo,Forest,6,377,1682,+282,+47,1846
37,Bruno Génésio,Lille,3,292,1711,+201,+67,1845
38,Imanol Alguacil,Real Sociedad,2,254,1759,+114,+57,1844
39,Maurizio Sarri,none (since 2024-03-13),8,524,1707,+226,+28,1835
40,Simone Inzaghi,Inter,3,376,1786,+71,+24,1833
41,Adi Hütter,Monaco,6,407,1616,+367,+61,1830
42,Yuriy Semin,none (since 2021-09-24),10,1090,1554,+499,+50,1828
43,Tony Pulis,none (since 2020-12-28),8,699,1574,+437,+55,1820
44,José Luis Mendilíbar,Ολυμπιακός,9,584,1687,+238,+26,1820
45,Stefano Pioli,none (since 2024-05-26),14,811,1634,+344,+25,1818
46,André Villas-Boas,none (since 2021-02-02),6,325,1759,+95,+16,1814
47,Edoardo Reja,none (since 2023-04-17),14,551,1586,+423,+30,1812
48,Sebastian Hoeneß,Stuttgart,2,119,1714,+131,+65,1812
49,Huub Stevens,none (since 2020-12-26),15,825,1656,+276,+18,1803
50,Roger Schmidt,Benfica,5,435,1713,+150,+30,1803
51,Walter Mazzarri,none (since 2024-02-18),9,643,1650,+272,+30,1801
52,Sérgio Conceição,none (since 2024-06-30),6,452,1686,+192,+32,1798
53,Sean Dyche,Everton,3,493,1629,+250,+83,1796
54,Siniša Mihajlović,none (since 2022-09-06),7,381,1617,+310,+44,1794
55,David Moyes,none (since 2024-06-30),7,895,1697,+170,+24,1794
56,Ron Jans,Utrecht,6,640,1483,+528,+88,1791
57,Diego Martínez,none (since 2023-12-05),6,360,1617,+297,+49,1790
58,Kurban Berdiyev,Turan,6,511,1567,+381,+64,1790
59,Philippe Montanier,none (since 2023-06-30),8,523,1534,+452,+56,1788
60,Artur Jorge,none (since 2024-04-02),13,658,1677,+198,+15,1783
61,Brendan Rodgers,Celtic,7,646,1688,+167,+24,1783
62,Erik ten Hag,Man United,4,388,1673,+169,+42,1779
63,Franck Haise,Nice,3,162,1641,+207,+69,1779
64,Thomas Frank,Brentford,2,343,1588,+253,+126,1778
65,Jorge Sampaoli,none (since 2023-03-20),3,138,1735,+63,+21,1777
66,Dan Petrescu,CFR Cluj,10,476,1502,+498,+50,1776
67,Fatih Terim,none (since 2024-05-17),8,602,1609,+296,+37,1776
68,Steven Gerrard,none (since 2022-10-20),2,209,1621,+205,+103,1775
69,Rudi García,none (since 2023-11-13),8,714,1673,+180,+23,1775
70,Lopetegui,West Ham,6,270,1806,-59,-10,1772
71,Massimiliano Allegri,none (since 2024-05-17),5,628,1822,-85,-17,1771
72,László Bölöni,none (since 2024-07-03),11,801,1579,+351,+32,1771
73,Niko Kovač,none (since 2024-03-17),4,261,1724,+72,+18,1769
74,Oliver Glasner,Crystal Palace,5,292,1602,+276,+55,1768
75,Quique Sánchez Flores,none (since 2024-06-30),10,472,1720,+86,+9,1767
76,Serhiy Rebrov,none (since 2021-06-30),2,232,1613,+200,+100,1763
77,Dieter Hecking,none (since 2023-06-01),8,637,1620,+253,+32,1762
78,Jindřich Trpišovský,Slavia Praha,2,402,1598,+219,+109,1762
79,Paulo Fonseca,Milan,8,448,1696,+116,+15,1761
80,Steve Bruce,none (since 2022-10-09),11,908,1595,+303,+28,1761
81,Antoine Kombouaré,Nantes,9,681,1578,+327,+36,1760
82,Mircea Lucescu,none (since 2023-11-03),13,1325,1688,+132,+10,1759
83,Ange Postecoglou,Tottenham,2,136,1685,+97,+49,1758
84,José Bordalás,Getafe,8,570,1641,+208,+26,1758
85,Christian Streich,none (since 2024-06-30),1,451,1668,+89,+89,1757
86,Urs Fischer,none (since 2023-11-15),4,474,1609,+233,+58,1755
87,Bruno Lage,none (since 2022-10-02),2,108,1763,-24,-12,1745
88,Marcelo Bielsa,none (since 2022-02-27),5,319,1666,+130,+26,1743
89,Vincenzo Montella,none (since 2023-06-30),8,395,1625,+208,+26,1742
90,Andoni Iraola,Bournemouth,4,216,1590,+240,+60,1740
91,Pavel Vrba,none (since 2022-10-10),8,472,1528,+375,+47,1740
92,Christian Gross,none (since 2021-02-27),6,733,1610,+215,+36,1735
93,Roy Hodgson,none (since 2024-02-18),15,931,1582,+276,+18,1730
94,Cesare Prandelli,none (since 2021-03-23),11,528,1692,+69,+6,1729
95,Gerardo Seoane,Gladbach,5,243,1675,+87,+17,1728
96,Éric Roy,Brest,2,119,1617,+147,+73,1727
97,Ronald Koeman,none (since 2021-10-27),10,657,1707,+35,+4,1726
98,Ivan Jurić,none (since 2024-06-30),6,283,1587,+238,+40,1726
99,Sergio González,none (since 2024-01-20),3,256,1647,+114,+38,1724
100,Steve Cooper,Leicester,3,195,1586,+205,+68,1723
101,Sergey Semak,Зенит,3,261,1659,+93,+31,1720
102,Massimo Carrera,Ascoli,4,143,1638,+129,+32,1718
103,Thiago Motta,Juventus,4,119,1633,+135,+34,1718
104,Rıza Çalımbay,none (since 2023-12-21),16,673,1465,+473,+30,1717
105,Fran Escribá,none (since 2023-11-19),6,303,1641,+119,+20,1710
106,Paul Le Guen,none (since 2022-06-19),6,513,1622,+149,+25,1709
107,Rubi,Almería,9,339,1637,+130,+14,1709
108,Dick Advocaat,none (since 2021-06-30),13,789,1626,+151,+12,1708
109,Thomas Schaaf,none (since 2021-05-30),4,624,1739,-51,-13,1707
110,Frédéric Antonetti,none (since 2023-06-30),9,787,1618,+156,+17,1704
111,Stanimir Stoilov,Göztepe,7,373,1457,+430,+61,1703
112,Pablo Machín,Απόλλων Λεμεσός,8,438,1610,+163,+20,1701
113,Luigi Delneri,none (since 2020-10-06),14,483,1619,+154,+11,1701
114,Mauricio Pellegrino,none (since 2024-06-30),5,151,1673,+46,+9,1701
115,Pellegrino Matarazzo,Hoffenheim,2,143,1631,+92,+46,1700
116,Xabi Alonso,Leverkusen,2,127,1586,+152,+76,1700
117,Jesse Marsch,none (since 2023-02-06),3,133,1748,-72,-24,1700
118,Neil Warnock,none (since 2024-03-10),15,1040,1500,+372,+25,1699
119,Michel Der Zakarian,Montpellier,7,603,1559,+242,+35,1698
120,Víctor Fernández,Zaragoza,11,758,1692,+9,+1,1696
121,Pedro Martins,none (since 2022-08-01),4,461,1584,+177,+44,1695
122,Christian Gourcuff,none (since 2020-12-08),5,779,1571,+203,+41,1692
123,Pablo Correa,Nancy,5,559,1561,+218,+44,1692
124,Javier Calleja,Oviedo,5,211,1685,+11,+2,1692
125,Răzvan Lucescu,ΠΑΟΚ,8,562,1485,+367,+46,1691
