"Team","Comp","Season","Player","Nation","Pos","Age","WeeklyWageEUR","WeeklyWageGBP","WeeklyWageUSD","AnnualWageEUR","AnnualWageGBP","AnnualWageUSD","Notes","Url","WeeklyWageEUR_num"
"Bayern Munich","Bundesliga","2017-2018","Robert Lewandowski","POL","FW",28,303846,263928,333009,15800000,13724269,17316456,"Unverified estimation","https://fbref.com/en/players/8d78e732/Robert-Lewandowski",303846
"Bayern Munich","Bundesliga","2017-2018","Franck Ribéry","FRA","MF,FW",34,303846,263928,333009,15800000,13724269,17316456,"Unverified estimation","https://fbref.com/en/players/f61c7c4e/Franck-Ribery",303846
"Bayern Munich","Bundesliga","2017-2018","Thomas Müller","GER","MF,FW",27,286538,248894,314040,14900000,12942507,16330075,"Unverified estimation","https://fbref.com/en/players/3c6089ab/Thomas-Muller",286538
"Bayern Munich","Bundesliga","2017-2018","Manuel Neuer","GER","GK",31,285769,248226,313197,14860000,12907762,16286236,"Unverified estimation","https://fbref.com/en/players/8778c910/Manuel-Neuer",285769
"Bayern Munich","Bundesliga","2017-2018","Thiago Alcántara","ESP","MF",26,227885,197946,249757,11850000,10293202,12987342,"Unverified estimation","https://fbref.com/en/players/77e84962/Thiago-Alcantara",227885
"Bayern Munich","Bundesliga","2017-2018","Jérôme Boateng","GER","DF",28,227885,197946,249757,11850000,10293202,12987342,"Unverified estimation","https://fbref.com/en/players/2db2fd7b/Jerome-Boateng",227885
"Bayern Munich","Bundesliga","2017-2018","Arturo Vidal","CHI","MF",30,224808,195274,246384,11690000,10154222,12811985,"Unverified estimation","https://fbref.com/en/players/67cdbc0e/Arturo-Vidal",224808
"Bayern Munich","Bundesliga","2017-2018","James Rodríguez","COL","MF,FW",26,211731,183915,232052,11010000,9563557,12066720,"Unverified estimation","https://fbref.com/en/players/715bf047/James-Rodriguez",211731
"Bayern Munich","Bundesliga","2017-2018","Mats Hummels","GER","DF",28,189808,164872,208025,9870000,8573325,10817305,"Unverified estimation","https://fbref.com/en/players/05d548d8/Mats-Hummels",189808
"Bayern Munich","Bundesliga","2017-2018","David Alaba","AUT","DF",25,189808,164872,208025,9870000,8573325,10817305,"Unverified estimation","https://fbref.com/en/players/05439de2/David-Alaba",189808
"Bayern Munich","Bundesliga","2017-2018","Kingsley Coman","FRA","FW,MF",21,153846,133635,168612,8e+06,6948997,8767826,"Unverified estimation","https://fbref.com/en/players/042e8a49/Kingsley-Coman",153846
"Bayern Munich","Bundesliga","2017-2018","Niklas Süle","GER","DF",21,134615,116930,147536,7e+06,6080372,7671847,"Unverified estimation","https://fbref.com/en/players/e33c06cf/Niklas-Sule",134615
"Bayern Munich","Bundesliga","2017-2018","Corentin Tolisso","FRA","MF",22,133269,115761,146060,6930000,6019569,7595129,"Unverified estimation","https://fbref.com/en/players/652d4c37/Corentin-Tolisso",133269
"Bayern Munich","Bundesliga","2017-2018","Arjen Robben","NED","FW,MF",33,132885,115427,145639,6910000,6002196,7573209,"Unverified estimation","https://fbref.com/en/players/09586899/Arjen-Robben",132885
"Bayern Munich","Bundesliga","2017-2018","Javi Martínez","ESP","MF,DF",28,113846,98890,124773,5920000,5142258,6488191,"Unverified estimation","https://fbref.com/en/players/7f97771d/Javi-Martinez",113846
"Bayern Munich","Bundesliga","2017-2018","Rafinha","BRA","DF",31,95000,82519,104118,4940000,4291006,5414132,"Unverified estimation","https://fbref.com/en/players/d003e213/Rafinha",95000
"Bayern Munich","Bundesliga","2017-2018","Sebastian Rudy","GER","MF",27,76154,66149,83463,3960000,3439753,4340074,"Unverified estimation","https://fbref.com/en/players/80f36c88/Sebastian-Rudy",76154
"Bayern Munich","Bundesliga","2017-2018","Sandro Wagner","GER","FW",29,57115,49612,62597,2970000,2579815,3255055,"Unverified estimation","https://fbref.com/en/players/61b0b44d/Sandro-Wagner",57115
"Bayern Munich","Bundesliga","2017-2018","Sven Ulreich","GER","GK",28,48077,41761,52691,2500000,2171562,2739946,"Unverified estimation","https://fbref.com/en/players/7d3e7da6/Sven-Ulreich",48077
"Bayern Munich","Bundesliga","2017-2018","Juan Bernat","ESP","DF",24,47692,41427,52270,2480000,2154189,2718026,"Unverified estimation","https://fbref.com/en/players/433dc9a2/Juan-Bernat",47692
